iter	AUC	Logloss
0	0.9061281942	0.6287502136
1	0.9324434533	0.5708247206
2	0.9434850942	0.5193634955
3	0.9487998759	0.4722436026
4	0.9506163896	0.4383799837
5	0.9525757494	0.4069091226	6	0.9539534064	0.3788923997	7	0.9536114355	0.35643766288	0.9539077905	0.339759439
9	0.9531358849	0.3241133729
10	0.9546407678	0.3090136652
